,Recipe_title,servings,ingredients,stars,Num_of_reviews
0,Classic Vanilla Cake,12 servings,"['1 stick (8 tablespoons) unsalted butter, at room temperature, plus more for the pans', '2 3/4 cups all-purpose flour, spooned and leveled, plus more for the pans', '1 teaspoon baking powder', '1 teaspoon fine salt', '2 cups granulated sugar', '1/2 cup vegetable oil', '5 large eggs, at room temperature', '1 tablespoon pure vanilla extract', '1 cup milk']",4,84
1,The Best Vanilla Cake,10 servings,"['Nonstick\xa0baking\xa0spray', ""3 1/2 cups all-purpose flour\xa0(see Cook's Note)"", '2 tablespoons cornstarch', '2 teaspoons baking powder', '2 teaspoons kosher salt', '1 teaspoon baking soda', '2 sticks\xa0(16 tablespoons)\xa0unsalted butter, at room temperature\xa0', '2 cups\xa0granulated\xa0sugar', '3 tablespoons\xa0vegetable\xa0oil\xa0', '1 tablespoon\xa0pure\xa0vanilla\xa0paste or\xa0extract\xa0', '3 large eggs, at room temperature\xa0', '2\xa0large egg\xa0yolks, at room temperature\xa0', '2 cups buttermilk, well-shaken\xa0']",5,39
2,Basic Vanilla Cake 2,two 9-inch cakes,"['Nonstick cooking spray', '3 cups cake flour, plus more for dusting', '1 tablespoon baking powder', '3/4 teaspoon fine salt', '2 1/2 cups sugar', '3 sticks unsalted butter, at room temperature', '3/4 cup milk, at room temperature', '1 tablespoon pure vanilla extract', '4 large eggs, at room temperature\\xa0']",4,22
3,Vanilla Cake with Vanilla Swiss Buttercream,8-10 servings,"['Nonstick cooking spray, for the pans', '4 ounces (1 stick) unsalted butter, at room temperature', '1/2 cup canola oil\xa0', '3 cups sugar\xa0', '4 large eggs\xa0', '2 tablespoons vanilla bean paste', '3 cups all-purpose flour\xa0', '1 teaspoon baking powder\xa0', '1 teaspoon kosher salt\xa0', '1 cup buttermilk\xa0', '5 large egg whites', '1 cup plus 2 tablespoons sugar', '1 pound (4 sticks) unsalted butter, cubed, at room temperature\xa0', '1 tablespoon vanilla bean paste\xa0', '1/2 teaspoon kosher salt\xa0', '1/4 cup fresh blackberries', '1/4 cup fresh blueberries\xa0', '1/4 cup fresh raspberries\xa0', '1/4 cup fresh strawberries\xa0']",4.5,7
4,Vanilla Cake,1 vanilla sheet cake,[],,
5,Vanilla Cake with Buttercream Frosting,6 servings,"['Nonstick cooking spray, for greasing the pans', '3 cups all-purpose flour, plus 1/4 cup for dusting the pans\xa0', '1 tablespoon baking powder\xa0', '1/2 teaspoon salt\xa0', '2 sticks unsalted butter, at room temperature', '1 1/4 cups granulated sugar\xa0', '4 large eggs, at room temperature\xa0', '1 tablespoon vanilla extract\xa0', '1 1/4 cups whole milk (or 3/4 cup heavy cream mixed with 1/2 cup water)\xa0', ""4 cups confectioners' sugar"", '1 cup (2 sticks) unsalted butter\xa0', '2 teaspoons vanilla extract\xa0', '1 to 2 tablespoons whipping cream, plus additional if needed\xa0']",4,3
6,Lemon-Vanilla Cake Roll,8 to 10 servings,"['Cooking spray', '6 large eggs, separated, at room temperature', '1/2 teaspoon fresh lemon juice', ""1 1/2 cups confectioners' sugar, plus more for dusting"", '1/4 cup vegetable oil', '1/4 cup whole milk', '1 vanilla bean, split lengthwise and seeds scraped', '1 1/4 cups all-purpose flour', '1/2 teaspoon baking powder', '1/4 teaspoon salt', '5 large egg whites', '1 1/3 cups granulated sugar', '1 vanilla bean, split lengthwise and seeds scraped', 'Pinch of salt', '3 sticks unsalted butter, cut into pieces, at room temperature', '1 tablespoon finely grated lemon zest, plus 2 tablespoons fresh lemon juice', '1/2 cup lemon curd']",5,1
7,Vanilla Cake with Vanilla Cream Cheese Frosting,8 to 10 servings,"['1 stick (8 tablespoons) unsalted butter, softened, plus more for the baking dish', '2 cups all-purpose flour\xa0', '1 1/2 teaspoons baking powder\xa0', '1/2 teaspoon kosher salt\xa0', '1/2 cup vegetable oil\xa0', '2 cups granulated sugar\xa0', '3 large eggs, at room temperature\xa0', '2 teaspoons vanilla extract\xa0', '2 teaspoons distilled white vinegar\xa0', '3/4 cup whole milk\xa0']",4.5,6
8,Honey Vanilla Pound Cake,one 8-inch loaf,"['1/2 pound (2 sticks) unsalted butter, at cool room temperature', '1 1/4 cups sugar', '4 extra-large eggs, at room temperature', '2 tablespoons honey', '2 teaspoons pure vanilla extract', '1 teaspoon grated lemon zest', '2 cups sifted cake flour', '1 teaspoon kosher salt', '1/2 teaspoon baking powder']",4,129
9,Vanilla Butter Cake,Three 8-inch cakes,"['Nonstick baking spray', '75 grams (2/3 cup) all-purpose flour, plus more for dusting\\xa0', '12 ounces (1 1/2 cups) buttermilk, at room temperature\\xa0', '4 large eggs', '3 ounces vegetable oil', '1 tablespoon pure vanilla extract or vanilla bean paste', '425 grams (2 cups plus 2 tablespoons) granulated sugar\\xa0', '250 grams (2 cups) cake flour\\xa0', '2 1/4 teaspoons baking powder', '1/2 teaspoon baking soda', '1 teaspoon table salt', '6 ounces (12 tablespoons) unsalted butter, softened']",5,5
